queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;2;10000;10;5.36002;4.6353;1865.66;1078.68
FIFO Queue;2;2;10000;10;4.54406;4.67042;2200.67;1070.57
FIFO Queue;3;2;10000;10;4.60415;4.64442;2171.95;1076.56
FIFO Queue;4;2;10000;10;4.57978;4.52428;2183.51;1105.15
FIFO Queue;5;2;10000;10;4.48678;4.51501;2228.77;1107.42
FIFO Queue;6;2;10000;10;4.58461;4.51397;2181.21;1107.67
FIFO Queue;7;2;10000;10;4.53466;4.51076;2205.24;1108.46
FIFO Queue;8;2;10000;10;4.52949;4.40475;2207.76;1135.14
FIFO Queue;9;2;10000;10;4.62036;4.34528;2164.33;1150.67
FIFO Queue;10;2;10000;10;4.56785;4.40313;2189.21;1135.56
