queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;64;100;10;7.82887;5.69308;12.7732;0.274456
FIFO Queue;2;64;100;10;2.01396;1.93111;49.6535;0.80912
FIFO Queue;3;64;100;10;2.32043;2.00325;43.0955;0.779981
FIFO Queue;4;64;100;10;1.2874;1.81208;77.6757;0.86227
FIFO Queue;5;64;100;10;1.59788;1.59092;62.5831;0.982135
FIFO Queue;6;64;100;10;1.52415;1.77283;65.6105;0.881358
FIFO Queue;7;64;100;10;1.57282;1.69905;63.5801;0.919629
FIFO Queue;8;64;100;10;1.66563;1.81964;60.0373;0.858685
FIFO Queue;9;64;100;10;1.63247;1.59991;61.2569;0.976618
FIFO Queue;10;64;100;10;1.25073;0.894056;79.9536;1.74765
