queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;46;1000;10;4.91806;2.13074;203.332;10.2026
LockBased Queue;2;46;1000;10;2.15669;1.84044;463.673;11.8119
LockBased Queue;3;46;1000;10;1.3405;1.34757;745.989;16.132
LockBased Queue;4;46;1000;10;0.853329;1.21019;1171.88;17.9634
LockBased Queue;5;46;1000;10;0.847578;1.25533;1179.83;17.3174
LockBased Queue;6;46;1000;10;0.82189;1.2278;1216.71;17.7057
LockBased Queue;7;46;1000;10;0.86438;1.06468;1156.9;20.4186
LockBased Queue;8;46;1000;10;1.18522;0.786313;843.725;27.6469
LockBased Queue;9;46;1000;10;1.18004;1.54983;847.428;14.0268
LockBased Queue;10;46;1000;10;0.883205;1.58674;1132.24;13.7005
