queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;58;100000;10;27.4529;32.8666;3642.61;52.4587
FIFO Queue;2;58;100000;10;28.2365;33.3151;3541.52;51.7524
FIFO Queue;3;58;100000;10;29.1507;33.7545;3430.45;51.0788
FIFO Queue;4;58;100000;10;29.1644;33.691;3428.84;51.1751
FIFO Queue;5;58;100000;10;30.1953;34.0447;3311.77;50.6433
FIFO Queue;6;58;100000;10;27.2006;33.9647;3676.39;50.7626
FIFO Queue;7;58;100000;10;27.3084;34.106;3661.87;50.5523
FIFO Queue;8;58;100000;10;27.282;34.1238;3665.42;50.526
FIFO Queue;9;58;100000;10;27.2796;33.9312;3665.75;50.8128
FIFO Queue;10;58;100000;10;27.2561;34.0649;3668.9;50.6133
