queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;60;100;10;4.47378;1.36236;22.3524;1.22336
LockBased Queue;2;60;100;10;2.50946;1.08892;39.8492;1.53057
LockBased Queue;3;60;100;10;2.0532;2.11297;48.7045;0.78878
LockBased Queue;4;60;100;10;0.924633;2.08047;108.151;0.801102
LockBased Queue;5;60;100;10;1.26131;2.1984;79.2824;0.758127
LockBased Queue;6;60;100;10;1.61471;1.16636;61.9308;1.42895
LockBased Queue;7;60;100;10;0.993953;0.989965;100.608;1.68356
LockBased Queue;8;60;100;10;0.916858;1.03166;109.068;1.61551
LockBased Queue;9;60;100;10;1.24457;1.23794;80.3488;1.34632
LockBased Queue;10;60;100;10;1.16681;1.69107;85.7041;0.98557
