queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;42;10000;10;5.07145;2.74119;1971.82;86.8584
LockBased Queue;2;42;10000;10;2.57156;2.90844;3888.69;81.8636
LockBased Queue;3;42;10000;10;2.77861;2.4174;3598.93;98.4923
LockBased Queue;4;42;10000;10;2.92167;2.48401;3422.7;95.851
LockBased Queue;5;42;10000;10;2.7839;2.14472;3592.09;111.015
LockBased Queue;6;42;10000;10;2.6432;2.91361;3783.29;81.7183
LockBased Queue;7;42;10000;10;2.69143;2.24014;3715.49;106.286
LockBased Queue;8;42;10000;10;3.18351;1.99616;3141.19;119.277
LockBased Queue;9;42;10000;10;2.78488;2.52428;3590.82;94.322
LockBased Queue;10;42;10000;10;2.44505;2.44572;4089.89;97.3517
