queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;128;1000;10;3.29283;0.503173;303.69;15.5265
FIFO Queue;2;128;1000;10;0.529863;0.402975;1887.28;19.3871
FIFO Queue;3;128;1000;10;0.457407;0.456706;2186.24;17.1062
FIFO Queue;4;128;1000;10;0.4161;0.436648;2403.27;17.892
FIFO Queue;5;128;1000;10;0.457528;0.412433;2185.66;18.9425
FIFO Queue;6;128;1000;10;0.438712;0.433573;2279.4;18.0189
FIFO Queue;7;128;1000;10;0.381806;0.435205;2619.13;17.9513
FIFO Queue;8;128;1000;10;0.434384;0.440616;2302.11;17.7309
FIFO Queue;9;128;1000;10;0.436919;0.440285;2288.75;17.7442
FIFO Queue;10;128;1000;10;0.431268;0.461264;2318.74;16.9372
