queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;42;10000;10;4.58333;3.79749;2181.82;62.6981
FIFO Queue;2;42;10000;10;3.25541;3.52771;3071.81;67.4928
FIFO Queue;3;42;10000;10;3.11638;3.25299;3208.85;73.1928
FIFO Queue;4;42;10000;10;3.13967;3.24547;3185.05;73.3623
FIFO Queue;5;42;10000;10;3.08783;3.24935;3238.52;73.2748
FIFO Queue;6;42;10000;10;3.15962;3.24238;3164.94;73.4323
FIFO Queue;7;42;10000;10;3.13802;3.26009;3186.72;73.0334
FIFO Queue;8;42;10000;10;3.1453;3.48611;3179.34;68.2982
FIFO Queue;9;42;10000;10;3.34301;3.47512;2991.31;68.5142
FIFO Queue;10;42;10000;10;3.34001;3.48407;2994;68.3383
