queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;22;100;10;2.22291;0.943879;44.986;4.81572
LockBased Queue;2;22;100;10;0.857487;0.957895;116.62;4.74525
LockBased Queue;3;22;100;10;0.919112;0.899245;108.801;5.05475
LockBased Queue;4;22;100;10;0.839684;1.28122;119.092;3.54775
LockBased Queue;5;22;100;10;0.854431;0.855514;117.037;5.31313
LockBased Queue;6;22;100;10;0.843872;0.860934;118.501;5.27968
LockBased Queue;7;22;100;10;0.983012;0.848851;101.728;5.35483
LockBased Queue;8;22;100;10;0.805219;0.884458;124.19;5.13925
LockBased Queue;9;22;100;10;0.802764;0.879799;124.57;5.16647
LockBased Queue;10;22;100;10;0.798376;0.878727;125.254;5.17277
