queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;36;10000;10;3.66172;3.59982;2730.96;77.1644
FIFO Queue;2;36;10000;10;3.38422;3.70395;2954.89;74.995
FIFO Queue;3;36;10000;10;3.5419;3.79846;2823.35;73.1291
FIFO Queue;4;36;10000;10;3.21622;3.75726;3109.24;73.9309
FIFO Queue;5;36;10000;10;2.51364;2.27768;3978.29;121.957
FIFO Queue;6;36;10000;10;2.54323;2.29594;3932.01;120.986
FIFO Queue;7;36;10000;10;2.52777;2.24338;3956.06;123.821
FIFO Queue;8;36;10000;10;2.53224;2.56173;3949.08;108.434
FIFO Queue;9;36;10000;10;2.96918;2.78679;3367.93;99.6765
FIFO Queue;10;36;10000;10;2.93148;2.75135;3411.24;100.961
