queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;40;10000;10;5.22521;3.76003;1913.8;66.4889
FIFO Queue;2;40;10000;10;3.86307;3.60555;2588.62;69.3376
FIFO Queue;3;40;10000;10;3.35822;3.57999;2977.77;69.8326
FIFO Queue;4;40;10000;10;3.27369;4.08328;3054.65;61.2253
FIFO Queue;5;40;10000;10;4.32665;3.7029;2311.26;67.5147
FIFO Queue;6;40;10000;10;4.53716;3.77109;2204.02;66.2937
FIFO Queue;7;40;10000;10;4.13054;3.61497;2420.99;69.1568
FIFO Queue;8;40;10000;10;3.90634;3.75802;2559.94;66.5244
FIFO Queue;9;40;10000;10;3.06752;3.75288;3259.97;66.6155
FIFO Queue;10;40;10000;10;3.02453;3.74671;3306.3;66.7252
