queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;28;100;10;1.62696;0.879278;61.4644;4.06177
FIFO Queue;2;28;100;10;0.882644;0.578103;113.296;6.17784
FIFO Queue;3;28;100;10;0.502672;0.89623;198.937;3.98495
FIFO Queue;4;28;100;10;1.01531;0.888615;98.4919;4.0191
FIFO Queue;5;28;100;10;0.935123;0.930163;106.938;3.83957
FIFO Queue;6;28;100;10;1.63797;1.30061;61.0512;2.74597
FIFO Queue;7;28;100;10;1.20777;1.67069;82.7969;2.1377
FIFO Queue;8;28;100;10;1.621;1.66806;61.6904;2.14107
FIFO Queue;9;28;100;10;1.47649;0.850945;67.7284;4.19701
FIFO Queue;10;28;100;10;1.2196;1.70074;81.9944;2.09993
