queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;28;1000;10;1.66463;1.08214;600.734;33.0034
LockBased Queue;2;28;1000;10;0.847308;1.07532;1180.21;33.2129
LockBased Queue;3;28;1000;10;0.834073;1.44189;1198.94;24.7691
LockBased Queue;4;28;1000;10;0.830286;1.0497;1204.4;34.0234
LockBased Queue;5;28;1000;10;0.803445;1.17447;1244.64;30.4088
LockBased Queue;6;28;1000;10;1.0976;1.29157;911.081;27.6518
LockBased Queue;7;28;1000;10;1.31947;1.3291;757.878;26.871
LockBased Queue;8;28;1000;10;0.81645;1.39087;1224.81;25.6777
LockBased Queue;9;28;1000;10;0.754594;1.83903;1325.22;19.4202
LockBased Queue;10;28;1000;10;1.19288;1.45409;838.304;24.5612
