queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;32;10000;10;4.28271;2.55021;2334.97;122.539
LockBased Queue;2;32;10000;10;2.64786;1.61541;3776.63;193.45
LockBased Queue;3;32;10000;10;2.66607;2.43007;3750.84;128.597
LockBased Queue;4;32;10000;10;2.684;2.58953;3725.78;120.678
LockBased Queue;5;32;10000;10;2.75254;1.73996;3633.01;179.602
LockBased Queue;6;32;10000;10;2.49243;2.15656;4012.15;144.907
LockBased Queue;7;32;10000;10;3.16212;1.95326;3162.44;159.989
LockBased Queue;8;32;10000;10;2.40178;2.09119;4163.58;149.437
LockBased Queue;9;32;10000;10;2.64732;2.27189;3777.4;137.551
LockBased Queue;10;32;10000;10;2.21192;2.57046;4520.95;121.574
