queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;16;10000;10;3.17675;2.40524;3147.87;259.85
FIFO Queue;2;16;10000;10;2.46249;2.34018;4060.92;267.073
FIFO Queue;3;16;10000;10;2.56222;2.35692;3902.86;265.177
FIFO Queue;4;16;10000;10;2.4978;2.34521;4003.52;266.5
FIFO Queue;5;16;10000;10;3.214;3.11141;3111.38;200.873
FIFO Queue;6;16;10000;10;3.33811;3.56598;2995.71;175.267
FIFO Queue;7;16;10000;10;3.7694;3.60962;2652.94;173.148
FIFO Queue;8;16;10000;10;3.79587;3.6158;2634.44;172.852
FIFO Queue;9;16;10000;10;3.83119;3.94409;2610.16;158.465
FIFO Queue;10;16;10000;10;4.03945;3.90631;2475.58;159.998
