queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;2;100;10;0.0439;0.03;2277.9;1666.67
FIFO Queue;2;2;100;10;0.0187;0.0287;5347.59;1742.16
FIFO Queue;3;2;100;10;0.0164;0.0298;6097.56;1677.85
FIFO Queue;4;2;100;10;0.0167;0.0296;5988.02;1689.19
FIFO Queue;5;2;100;10;0.0187;0.0293;5347.59;1706.48
FIFO Queue;6;2;100;10;0.0178;0.0296;5617.98;1689.19
FIFO Queue;7;2;100;10;0.0165;0.0303;6060.61;1650.17
FIFO Queue;8;2;100;10;0.0182;0.0303;5494.51;1650.17
FIFO Queue;9;2;100;10;0.0164;0.0286;6097.56;1748.25
FIFO Queue;10;2;100;10;0.0169;0.0508;5917.16;984.252
