queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;2;1000;10;0.2935;0.2545;3407.16;1964.64
FIFO Queue;2;2;1000;10;0.2146;0.2513;4659.83;1989.65
FIFO Queue;3;2;1000;10;0.2542;0.2451;3933.91;2039.98
FIFO Queue;4;2;1000;10;0.2196;0.2536;4553.73;1971.61
FIFO Queue;5;2;1000;10;0.2074;0.2492;4821.6;2006.42
FIFO Queue;6;2;1000;10;0.1852;0.2461;5399.57;2031.69
FIFO Queue;7;2;1000;10;0.2702;0.3071;3700.96;1628.13
FIFO Queue;8;2;1000;10;0.2296;0.302;4355.4;1655.63
FIFO Queue;9;2;1000;10;0.2049;0.2463;4880.43;2030.04
FIFO Queue;10;2;1000;10;0.2226;0.2488;4492.36;2009.65
