queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;24;1000;10;2.19501;0.021601;455.578;1928.92
LockBased Queue;2;24;1000;10;1.56252;0.02158;639.992;1930.8
LockBased Queue;3;24;1000;10;1.15698;0.022873;864.321;1821.65
LockBased Queue;4;24;1000;10;0.610555;0.021319;1637.85;1954.44
LockBased Queue;5;24;1000;10;1.15136;0.388949;868.54;107.126
LockBased Queue;6;24;1000;10;1.23843;0.021751;807.473;1915.62
LockBased Queue;7;24;1000;10;0.658835;0.021771;1517.83;1913.86
LockBased Queue;8;24;1000;10;0.999944;0.02117;1000.06;1968.19
LockBased Queue;9;24;1000;10;1.15532;0.021751;865.557;1915.62
LockBased Queue;10;24;1000;10;1.18487;0.02132;843.974;1954.35
