queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;42;100;10;2.60842;1.68721;38.3374;1.41118
FIFO Queue;2;42;100;10;2.54338;1.20259;39.3178;1.97985
FIFO Queue;3;42;100;10;1.29075;1.60841;77.4744;1.48031
FIFO Queue;4;42;100;10;1.53306;1.96787;65.2289;1.20992
FIFO Queue;5;42;100;10;1.18872;1.56386;84.1242;1.52248
FIFO Queue;6;42;100;10;1.98571;1.65756;50.3598;1.43642
FIFO Queue;7;42;100;10;1.20112;1.65427;83.2556;1.43928
FIFO Queue;8;42;100;10;1.60003;1.99047;62.4989;1.19618
FIFO Queue;9;42;100;10;0.819466;0.882423;122.031;2.6982
FIFO Queue;10;42;100;10;2.01419;1.72289;49.6476;1.38195
