queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;6;100;10;1.75926;0.099696;56.8422;167.175
LockBased Queue;2;6;100;10;0.14379;0.053631;695.459;310.766
LockBased Queue;3;6;100;10;0.065934;0.038592;1516.67;431.868
LockBased Queue;4;6;100;10;0.144781;0.04285;690.698;388.954
LockBased Queue;5;6;100;10;0.052088;0.065973;1919.83;252.629
LockBased Queue;6;6;100;10;0.04228;0.039474;2365.18;422.219
LockBased Queue;7;6;100;10;0.051206;0.033132;1952.9;503.038
LockBased Queue;8;6;100;10;0.044002;0.034305;2272.62;485.838
LockBased Queue;9;6;100;10;0.04306;0.031028;2322.34;537.149
LockBased Queue;10;6;100;10;0.04272;0.029866;2340.82;558.048
