queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;10;100;10;0.323;0.0317;309.598;315.457
FIFO Queue;2;10;100;10;0.0166;0.032;6024.1;312.5
FIFO Queue;3;10;100;10;0.0146;0.0322;6849.32;310.559
FIFO Queue;4;10;100;10;0.0149;0.0311;6711.41;321.543
FIFO Queue;5;10;100;10;0.014;0.0328;7142.86;304.878
FIFO Queue;6;10;100;10;0.0148;0.0314;6756.76;318.471
FIFO Queue;7;10;100;10;0.0144;0.0313;6944.44;319.489
FIFO Queue;8;10;100;10;0.014;0.0331;7142.86;302.115
FIFO Queue;9;10;100;10;0.0142;0.0332;7042.25;301.205
FIFO Queue;10;10;100;10;0.0162;0.0313;6172.84;319.489
