queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;52;100;10;2.13048;2.42352;46.9377;0.793505
LockBased Queue;2;52;100;10;2.07881;0.871262;48.1046;2.20723
LockBased Queue;3;52;100;10;1.40225;1.24563;71.3141;1.54385
LockBased Queue;4;52;100;10;1.543;2.40976;64.8087;0.798038
LockBased Queue;5;52;100;10;0.846376;1.66439;118.151;1.15543
LockBased Queue;6;52;100;10;1.65301;1.66776;60.4958;1.15309
LockBased Queue;7;52;100;10;2.01954;1.60846;49.5161;1.1956
LockBased Queue;8;52;100;10;1.23851;1.67389;80.7422;1.14887
LockBased Queue;9;52;100;10;1.93757;2.40257;51.611;0.800424
LockBased Queue;10;52;100;10;2.34278;2.0251;42.6843;0.949618
