queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;60;100;10;4.97072;0.036128;20.1178;46.1323
FIFO Queue;2;60;100;10;3.92635;0.037621;25.469;44.3015
FIFO Queue;3;60;100;10;3.86866;0.036418;25.8488;45.7649
FIFO Queue;4;60;100;10;2.85715;0.038782;34.9999;42.9753
FIFO Queue;5;60;100;10;1.72714;0.038151;57.8993;43.6861
FIFO Queue;6;60;100;10;2.39049;0.041808;41.8324;39.8648
FIFO Queue;7;60;100;10;1.28158;0.041047;78.0286;40.6039
FIFO Queue;8;60;100;10;1.98193;0.043051;50.4558;38.7138
FIFO Queue;9;60;100;10;1.708;0.040936;58.548;40.714
FIFO Queue;10;60;100;10;1.71169;0.04276;58.4219;38.9772
