queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;44;1000;10;3.02394;3.07139;330.695;7.39968
FIFO Queue;2;44;1000;10;2.09896;1.7763;476.426;12.7947
FIFO Queue;3;44;1000;10;1.44136;1.47904;693.789;15.3662
FIFO Queue;4;44;1000;10;1.39625;1.46041;716.206;15.5623
FIFO Queue;5;44;1000;10;1.12151;1.11708;891.653;20.3452
FIFO Queue;6;44;1000;10;1.11744;1.09142;894.899;20.8237
FIFO Queue;7;44;1000;10;1.20429;1.3788;830.368;16.4833
FIFO Queue;8;44;1000;10;1.04568;1.51924;956.316;14.9597
FIFO Queue;9;44;1000;10;1.07743;2.12062;928.135;10.7173
FIFO Queue;10;44;1000;10;1.47548;1.85148;677.748;12.2752
