queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;44;100;10;5.01437;1.31015;19.9427;1.7347
LockBased Queue;2;44;100;10;2.34721;0.828263;42.6038;2.74397
LockBased Queue;3;44;100;10;0.914274;0.938158;109.376;2.42254
LockBased Queue;4;44;100;10;0.92851;1.1366;107.699;1.99958
LockBased Queue;5;44;100;10;0.954199;1.00488;104.8;2.26168
LockBased Queue;6;44;100;10;0.876092;1.06793;114.143;2.12816
LockBased Queue;7;44;100;10;0.892262;1.73533;112.075;1.30968
LockBased Queue;8;44;100;10;0.920605;1.00672;108.624;2.25757
LockBased Queue;9;44;100;10;1.19527;0.880781;83.6631;2.58035
LockBased Queue;10;44;100;10;0.857066;0.9927;116.677;2.28944
