queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;192;100;10;5.74188;0.567895;17.4159;0.91713
FIFO Queue;2;192;100;10;0.495489;0.517901;201.821;1.00566
FIFO Queue;3;192;100;10;0.520485;0.554409;192.128;0.939439
FIFO Queue;4;192;100;10;0.535665;0.529222;186.684;0.984149
FIFO Queue;5;192;100;10;0.526406;0.515807;189.967;1.00974
FIFO Queue;6;192;100;10;0.530865;0.529323;188.372;0.983961
FIFO Queue;7;192;100;10;0.532929;0.557555;187.642;0.934138
FIFO Queue;8;192;100;10;0.503955;0.494327;198.43;1.05362
FIFO Queue;9;192;100;10;0.546504;0.538479;182.981;0.967231
FIFO Queue;10;192;100;10;0.494827;0.536375;202.091;0.971025
