queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;52;1000;10;3.85178;1.86456;259.62;10.3138
FIFO Queue;2;52;1000;10;1.40108;1.7871;713.738;10.7609
FIFO Queue;3;52;1000;10;1.25642;1.10615;795.909;17.3853
FIFO Queue;4;52;1000;10;1.11011;1.01044;900.812;19.032
FIFO Queue;5;52;1000;10;0.717124;1.13205;1394.46;16.9875
FIFO Queue;6;52;1000;10;1.09314;1.1644;914.797;16.5156
FIFO Queue;7;52;1000;10;1.12083;1.14255;892.196;16.8314
FIFO Queue;8;52;1000;10;1.42515;1.12811;701.68;17.0468
FIFO Queue;9;52;1000;10;1.34503;1.09762;743.478;17.5205
FIFO Queue;10;52;1000;10;1.12504;1.04942;888.859;18.3252
