queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;30;100;10;5.45688;0.038272;18.3255;87.0959
FIFO Queue;2;30;100;10;1.61871;0.040476;61.7775;82.3533
FIFO Queue;3;30;100;10;1.19206;0.039575;83.8881;84.2283
FIFO Queue;4;30;100;10;1.21044;0.042249;82.6147;78.8973
FIFO Queue;5;30;100;10;0.941945;0.040627;106.163;82.0472
FIFO Queue;6;30;100;10;0.9235;0.041808;108.284;79.7296
FIFO Queue;7;30;100;10;0.834593;0.03743;119.819;89.0551
FIFO Queue;8;30;100;10;1.2343;0.036679;81.0174;90.8785
FIFO Queue;9;30;100;10;1.15894;0.044173;86.2856;75.4609
FIFO Queue;10;30;100;10;0.859009;0.038332;116.413;86.9595
