queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;12;10000;10;3.73;2.81212;2680.96;296.336
FIFO Queue;2;12;10000;10;3.02547;2.83907;3305.27;293.523
FIFO Queue;3;12;10000;10;3.02866;2.81018;3301.79;296.541
FIFO Queue;4;12;10000;10;3.05529;2.81059;3273.01;296.498
FIFO Queue;5;12;10000;10;3.06449;2.84549;3263.18;292.862
FIFO Queue;6;12;10000;10;3.03499;2.82238;3294.9;295.259
FIFO Queue;7;12;10000;10;3.03826;3.10768;3291.36;268.153
FIFO Queue;8;12;10000;10;3.3533;3.12986;2982.14;266.253
FIFO Queue;9;12;10000;10;3.40137;3.12989;2940;266.25
FIFO Queue;10;12;10000;10;3.38663;3.1472;2952.79;264.786
