queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;4;1000;10;0.0695;0.0097;14388.5;25773.2
LockBased Queue;2;4;1000;10;0.0737;0.0089;13568.5;28089.9
LockBased Queue;3;4;1000;10;0.0431;0.009;23201.9;27777.8
LockBased Queue;4;4;1000;10;0.0578;0.0095;17301;26315.8
LockBased Queue;5;4;1000;10;0.047;0.0095;21276.6;26315.8
LockBased Queue;6;4;1000;10;0.039;0.0091;25641;27472.5
LockBased Queue;7;4;1000;10;0.0504;0.0092;19841.3;27173.9
LockBased Queue;8;4;1000;10;0.0595;0.0092;16806.7;27173.9
LockBased Queue;9;4;1000;10;0.0343;0.0092;29154.5;27173.9
LockBased Queue;10;4;1000;10;0.072;0.0092;13888.9;27173.9
