queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;8;1000;10;1.06054;0.206858;942.919;604.279
LockBased Queue;2;8;1000;10;0.350727;0.204804;2851.22;610.34
LockBased Queue;3;8;1000;10;0.222417;0.220994;4496.06;565.626
LockBased Queue;4;8;1000;10;0.280856;0.172734;3560.54;723.656
LockBased Queue;5;8;1000;10;0.272511;0.205044;3669.58;609.625
LockBased Queue;6;8;1000;10;0.274695;0.193302;3640.4;646.657
LockBased Queue;7;8;1000;10;0.270066;0.174437;3702.8;716.591
LockBased Queue;8;8;1000;10;0.281347;0.191539;3554.33;652.609
LockBased Queue;9;8;1000;10;0.263825;0.184806;3790.39;676.385
LockBased Queue;10;8;1000;10;0.246392;0.158387;4058.57;789.206
