queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;20;1000;10;4.10666;1.05884;243.507;47.2213
FIFO Queue;2;20;1000;10;1.05875;0.695633;944.506;71.877
FIFO Queue;3;20;1000;10;0.694571;1.43387;1439.74;34.8707
FIFO Queue;4;20;1000;10;0.656701;1.06882;1522.76;46.7805
FIFO Queue;5;20;1000;10;1.06847;1.0679;935.916;46.8208
FIFO Queue;6;20;1000;10;1.05087;0.673732;951.593;74.2135
FIFO Queue;7;20;1000;10;1.416;1.87314;706.213;26.6931
FIFO Queue;8;20;1000;10;1.48307;0.682549;674.277;73.2548
FIFO Queue;9;20;1000;10;1.0479;0.6723;954.287;74.3716
FIFO Queue;10;20;1000;10;1.45591;0.947746;686.857;52.7568
