queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;34;10000;10;4.56988;3.71143;2188.24;79.2466
FIFO Queue;2;34;10000;10;3.68783;3.3982;2711.62;86.5511
FIFO Queue;3;34;10000;10;3.57011;3.34141;2801.03;88.022
FIFO Queue;4;34;10000;10;3.33611;3.31136;2997.5;88.8209
FIFO Queue;5;34;10000;10;3.37289;3.65761;2964.82;80.4124
FIFO Queue;6;34;10000;10;3.51305;3.95127;2846.53;74.4361
FIFO Queue;7;34;10000;10;4.0376;3.70366;2476.72;79.4127
FIFO Queue;8;34;10000;10;3.52854;3.2364;2834.03;90.8779
FIFO Queue;9;34;10000;10;3.0501;3.01183;3278.59;97.654
FIFO Queue;10;34;10000;10;3.10914;3.08006;3216.33;95.4908
