queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;18;100;10;2.77427;0.8701;36.0455;6.38496
LockBased Queue;2;18;100;10;0.796753;0.83271;125.509;6.67166
LockBased Queue;3;18;100;10;1.2507;0.490239;79.955;11.3323
LockBased Queue;4;18;100;10;1.30859;0.878697;76.418;6.32249
LockBased Queue;5;18;100;10;0.430908;1.3117;232.068;4.23539
LockBased Queue;6;18;100;10;0.438412;1.62328;228.096;3.42242
LockBased Queue;7;18;100;10;0.824665;0.883425;121.261;6.28866
LockBased Queue;8;18;100;10;1.21322;1.1988;82.4251;4.63428
LockBased Queue;9;18;100;10;1.97415;1.61977;50.6547;3.42983
LockBased Queue;10;18;100;10;0.431308;1.467;231.853;3.78702
