queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;30;100000;10;25.0023;23.2799;3999.63;143.185
FIFO Queue;2;30;100000;10;23.8822;26.3271;4187.21;126.612
FIFO Queue;3;30;100000;10;26.4059;26.4459;3787.04;126.043
FIFO Queue;4;30;100000;10;26.5633;27.9424;3764.59;119.293
FIFO Queue;5;30;100000;10;29.5333;29.7496;3386.01;112.046
FIFO Queue;6;30;100000;10;31.0746;32.8843;3218.06;101.365
FIFO Queue;7;30;100000;10;33.8725;55.5647;2952.25;59.9901
FIFO Queue;8;30;100000;10;41.3969;36.16;2415.64;92.1829
FIFO Queue;9;30;100000;10;35.0907;36.1404;2849.76;92.2328
FIFO Queue;10;30;100000;10;37.0664;39.2252;2697.86;84.9794
