queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;46;1000;10;1.58501;0.39508;630.91;55.0246
FIFO Queue;2;46;1000;10;0.751859;0.397144;1330.04;54.7387
FIFO Queue;3;46;1000;10;1.08154;0.41128;924.61;52.8573
FIFO Queue;4;46;1000;10;0.748253;0.402845;1336.45;53.964
FIFO Queue;5;46;1000;10;1.0871;0.392716;919.881;55.3559
FIFO Queue;6;46;1000;10;1.3338;0.404929;749.738;53.6863
FIFO Queue;7;46;1000;10;1.27825;0.399819;782.317;54.3724
FIFO Queue;8;46;1000;10;1.40061;0.401161;713.972;54.1905
FIFO Queue;9;46;1000;10;1.35888;0.403536;735.902;53.8716
FIFO Queue;10;46;1000;10;1.09971;0.798216;909.33;27.2346
