queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;64;1000;10;1.39169;3.55142;718.552;4.39965
FIFO Queue;2;64;1000;10;1.60886;1.31472;621.556;11.8846
FIFO Queue;3;64;1000;10;1.21081;2.14018;825.894;7.30078
FIFO Queue;4;64;1000;10;0.972582;2.15583;1028.19;7.24779
FIFO Queue;5;64;1000;10;0.968966;2.54348;1032.03;6.14317
FIFO Queue;6;64;1000;10;1.18447;1.53678;844.259;10.1674
FIFO Queue;7;64;1000;10;1.16943;1.72309;855.116;9.06801
FIFO Queue;8;64;1000;10;2.00436;1.62637;498.913;9.6073
FIFO Queue;9;64;1000;10;1.54322;1.21142;647.995;12.8981
FIFO Queue;10;64;1000;10;0.833973;1.922;1199.08;8.12954
