queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;38;10000;10;6.42173;2.76205;1557.21;95.2765
LockBased Queue;2;38;10000;10;5.15038;3.16518;1941.6;83.1415
LockBased Queue;3;38;10000;10;4.40113;3.17285;2272.15;82.9407
LockBased Queue;4;38;10000;10;4.4049;3.24657;2270.2;81.0571
LockBased Queue;5;38;10000;10;4.61836;3.65146;2165.27;72.0692
LockBased Queue;6;38;10000;10;4.74221;3.58049;2108.72;73.4978
LockBased Queue;7;38;10000;10;4.51087;3.17314;2216.87;82.9331
LockBased Queue;8;38;10000;10;4.39729;3.16135;2274.13;83.2422
LockBased Queue;9;38;10000;10;3.93116;2.94886;2543.78;89.2407
LockBased Queue;10;38;10000;10;4.41278;2.87598;2266.15;91.502
