queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;32;1000;10;1.92852;2.4502;518.531;12.7541
FIFO Queue;2;32;1000;10;0.67778;1.10354;1475.4;28.318
FIFO Queue;3;32;1000;10;1.10516;1.07842;904.846;28.9776
FIFO Queue;4;32;1000;10;0.703408;1.08878;1421.65;28.7018
FIFO Queue;5;32;1000;10;1.10405;1.10146;905.757;28.3713
FIFO Queue;6;32;1000;10;1.11135;1.07536;899.804;29.0602
FIFO Queue;7;32;1000;10;0.718146;1.05796;1392.47;29.5379
FIFO Queue;8;32;1000;10;0.670416;1.06919;1491.61;29.2276
FIFO Queue;9;32;1000;10;0.670366;1.08554;1491.72;28.7874
FIFO Queue;10;32;1000;10;1.08266;1.80036;923.652;17.3576
